coorte;modelo;fold_externo;fold_interno;parametros;c_index_validacao_interna;n_genes_inner
LUAD;CoxPH;1;1;penalizer=0.1;0.6439882697947215;15
LUAD;CoxPH;1;2;penalizer=0.1;0.7211510791366906;15
LUAD;CoxPH;1;3;penalizer=0.1;0.6111433546140452;14
LUAD;CoxPH;1;1;penalizer=1.0;0.6422287390029325;15
LUAD;CoxPH;1;2;penalizer=1.0;0.7490647482014389;15
LUAD;CoxPH;1;3;penalizer=1.0;0.6706326175275682;14
LUAD;CoxPH;1;1;penalizer=10.0;0.6372434017595308;15
LUAD;CoxPH;1;2;penalizer=10.0;0.7484892086330935;15
LUAD;CoxPH;1;3;penalizer=10.0;0.6775972141613464;14
LUAD;CoxPH;2;1;penalizer=0.1;0.6566230812961911;20
LUAD;CoxPH;2;2;penalizer=0.1;0.6875181844631947;17
LUAD;CoxPH;2;3;penalizer=0.1;0.7416340066324992;17
LUAD;CoxPH;2;1;penalizer=1.0;0.691017623649801;20
LUAD;CoxPH;2;2;penalizer=1.0;0.7070119290078557;17
LUAD;CoxPH;2;3;penalizer=1.0;0.7362074163400664;17
LUAD;CoxPH;2;1;penalizer=10.0;0.7029562251279136;20
LUAD;CoxPH;2;2;penalizer=10.0;0.7081757346523131;17
LUAD;CoxPH;2;3;penalizer=10.0;0.728067530901417;17
LUAD;CoxPH;3;1;penalizer=0.1;0.6517832069643359;20
LUAD;CoxPH;3;2;penalizer=0.1;0.6779220779220779;13
LUAD;CoxPH;3;3;penalizer=0.1;0.6918004587155964;19
LUAD;CoxPH;3;1;penalizer=1.0;0.6352148272957034;20
LUAD;CoxPH;3;2;penalizer=1.0;0.7128427128427128;13
LUAD;CoxPH;3;3;penalizer=1.0;0.7049885321100917;19
LUAD;CoxPH;3;1;penalizer=10.0;0.6318449873631002;20
LUAD;CoxPH;3;2;penalizer=10.0;0.7148629148629149;13
LUAD;CoxPH;3;3;penalizer=10.0;0.7049885321100917;19
LUAD;CoxPH;4;1;penalizer=0.1;0.7102521929824561;12
LUAD;CoxPH;4;2;penalizer=0.1;0.6713382797471833;11
LUAD;CoxPH;4;3;penalizer=0.1;0.6720610687022901;22
LUAD;CoxPH;4;1;penalizer=1.0;0.7160087719298246;12
LUAD;CoxPH;4;2;penalizer=1.0;0.679582302830448;11
LUAD;CoxPH;4;3;penalizer=1.0;0.6903816793893129;22
LUAD;CoxPH;4;1;penalizer=10.0;0.7272478070175439;12
LUAD;CoxPH;4;2;penalizer=10.0;0.6784830997526793;11
LUAD;CoxPH;4;3;penalizer=10.0;0.6946564885496184;22
LUAD;CoxPH;5;1;penalizer=0.1;0.6504249291784703;13
LUAD;CoxPH;5;2;penalizer=0.1;0.6592946802151823;19
LUAD;CoxPH;5;3;penalizer=0.1;0.6724915445321308;12
LUAD;CoxPH;5;1;penalizer=1.0;0.6742209631728046;13
LUAD;CoxPH;5;2;penalizer=1.0;0.6727435744172146;19
LUAD;CoxPH;5;3;penalizer=1.0;0.7080045095828635;12
LUAD;CoxPH;5;1;penalizer=10.0;0.6759206798866856;13
LUAD;CoxPH;5;2;penalizer=10.0;0.6852958756724448;19
LUAD;CoxPH;5;3;penalizer=10.0;0.7065952649379932;12
LUAD;Weibull AFT;1;1;penalizer=0.1;0.6378299120234604;15
LUAD;Weibull AFT;1;2;penalizer=0.1;0.700431654676259;15
LUAD;Weibull AFT;1;3;penalizer=0.1;0.589959373186303;14
LUAD;Weibull AFT;1;1;penalizer=1.0;0.6372434017595308;15
LUAD;Weibull AFT;1;2;penalizer=1.0;0.7453237410071942;15
LUAD;Weibull AFT;1;3;penalizer=1.0;0.665699361578642;14
LUAD;Weibull AFT;1;1;penalizer=10.0;0.6307917888563049;15
LUAD;Weibull AFT;1;2;penalizer=10.0;0.7490647482014389;15
LUAD;Weibull AFT;1;3;penalizer=10.0;0.6741149158444574;14
LUAD;Weibull AFT;2;1;penalizer=0.1;0.63757816941444;20
LUAD;Weibull AFT;2;2;penalizer=0.1;0.6761710794297352;17
LUAD;Weibull AFT;2;3;penalizer=0.1;0.7374133252939403;17
LUAD;Weibull AFT;2;1;penalizer=1.0;0.6924388857305287;20
LUAD;Weibull AFT;2;2;penalizer=1.0;0.7058481233633983;17
LUAD;Weibull AFT;2;3;penalizer=1.0;0.7410310521555623;17
LUAD;Weibull AFT;2;1;penalizer=10.0;0.7038089823763501;20
LUAD;Weibull AFT;2;2;penalizer=10.0;0.7084666860634274;17
LUAD;Weibull AFT;2;3;penalizer=10.0;0.729876394332228;17
LUAD;Weibull AFT;3;1;penalizer=0.1;0.6551530468969391;20
LUAD;Weibull AFT;3;2;penalizer=0.1;0.651082251082251;13
LUAD;Weibull AFT;3;3;penalizer=0.1;0.6834862385321101;19
LUAD;Weibull AFT;3;1;penalizer=1.0;0.6304408873911822;20
LUAD;Weibull AFT;3;2;penalizer=1.0;0.707936507936508;13
LUAD;Weibull AFT;3;3;penalizer=1.0;0.7044151376146789;19
LUAD;Weibull AFT;3;1;penalizer=10.0;0.6253861274922774;20
LUAD;Weibull AFT;3;2;penalizer=10.0;0.7154401154401154;13
LUAD;Weibull AFT;3;3;penalizer=10.0;0.7061353211009175;19
LUAD;Weibull AFT;4;1;penalizer=0.1;0.6990131578947368;12
LUAD;Weibull AFT;4;2;penalizer=0.1;0.6658422643583402;11
LUAD;Weibull AFT;4;3;penalizer=0.1;0.6638167938931298;22
LUAD;Weibull AFT;4;1;penalizer=1.0;0.7171052631578947;12
LUAD;Weibull AFT;4;2;penalizer=1.0;0.677933498213795;11
LUAD;Weibull AFT;4;3;penalizer=1.0;0.6888549618320611;22
LUAD;Weibull AFT;4;1;penalizer=10.0;0.7256030701754386;12
LUAD;Weibull AFT;4;2;penalizer=10.0;0.6768342951360263;11
LUAD;Weibull AFT;4;3;penalizer=10.0;0.692824427480916;22
LUAD;Weibull AFT;5;1;penalizer=0.1;0.6407932011331445;13
LUAD;Weibull AFT;5;2;penalizer=0.1;0.6566049013747759;19
LUAD;Weibull AFT;5;3;penalizer=0.1;0.6631905298759865;12
LUAD;Weibull AFT;5;1;penalizer=1.0;0.6762039660056657;13
LUAD;Weibull AFT;5;2;penalizer=1.0;0.6757322175732218;19
LUAD;Weibull AFT;5;3;penalizer=1.0;0.7054678692220969;12
LUAD;Weibull AFT;5;1;penalizer=10.0;0.6770538243626062;13
LUAD;Weibull AFT;5;2;penalizer=10.0;0.687089061566049;19
LUAD;Weibull AFT;5;3;penalizer=10.0;0.7006764374295378;12
LUAD;RSF;1;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6334310850439883;15
LUAD;RSF;1;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.7153956834532375;15
